longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.4,37.72,41.0,1975.0,440.0,1528.0,424.0,3.8625,NEAR BAY
-121.98,38.34,18.0,3876.0,916.0,2386.0,867.0,2.5938,INLAND
-117.82,33.64,18.0,1974.0,260.0,808.0,278.0,9.8589,<1H OCEAN
-118.34,34.02,48.0,1614.0,320.0,684.0,318.0,4.2218,<1H OCEAN
-120.93,38.26,13.0,2084.0,449.0,834.0,305.0,3.2937,INLAND
-117.93,33.82,28.0,2444.0,555.0,1848.0,567.0,3.0179,<1H OCEAN
-120.98,39.93,25.0,2220.0,511.0,912.0,449.0,1.8914,INLAND
-121.05,39.13,10.0,3063.0,497.0,1168.0,507.0,4.4375,INLAND
-122.32,38.35,20.0,3494.0,549.0,1673.0,541.0,5.5718,INLAND
-117.25,33.08,13.0,3651.0,465.0,1311.0,435.0,7.5402,NEAR OCEAN
-118.38,34.06,29.0,3946.0,1008.0,1676.0,876.0,2.7824,<1H OCEAN
-118.58,34.22,35.0,2560.0,441.0,1428.0,468.0,5.6345,<1H OCEAN
-122.01,37.94,26.0,1619.0,224.0,706.0,220.0,6.0704,NEAR BAY
-117.7,35.6,16.0,2678.0,483.0,1473.0,487.0,3.858,INLAND
-117.93,34.03,35.0,2160.0,399.0,1694.0,403.0,3.8581,<1H OCEAN
-122.14,37.88,34.0,6986.0,1096.0,2865.0,1124.0,6.2275,NEAR BAY
-121.38,36.85,13.0,4115.0,782.0,2903.0,747.0,3.7316,INLAND
-121.06,37.67,31.0,906.0,146.0,383.0,129.0,3.4167,INLAND
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,NEAR BAY
-118.13,34.16,36.0,2162.0,658.0,1337.0,590.0,2.2095,<1H OCEAN
-118.3,33.93,35.0,1300.0,356.0,1216.0,326.0,1.2,<1H OCEAN
-117.21,34.14,16.0,1613.0,245.0,811.0,267.0,5.2591,INLAND
-118.36,33.91,36.0,2064.0,474.0,1366.0,421.0,4.1,<1H OCEAN
-118.08,33.89,28.0,1035.0,275.0,1545.0,269.0,3.0357,<1H OCEAN
-121.91,37.93,13.0,1610.0,198.0,703.0,217.0,8.7059,INLAND
-117.71,34.1,52.0,567.0,152.0,2688.0,126.0,1.875,INLAND
-118.41,34.28,32.0,2574.0,531.0,2609.0,472.0,3.7566,<1H OCEAN
-117.05,32.63,31.0,4911.0,861.0,2334.0,843.0,4.1958,NEAR OCEAN
-117.87,33.64,26.0,3521.0,455.0,1336.0,451.0,10.2849,<1H OCEAN
-117.28,32.83,34.0,2392.0,653.0,933.0,619.0,3.7306,NEAR OCEAN
-118.39,33.84,16.0,2472.0,572.0,965.0,529.0,5.137,<1H OCEAN
-117.89,33.62,24.0,1016.0,238.0,465.0,236.0,3.0625,<1H OCEAN
-122.37,37.95,32.0,1298.0,363.0,716.0,268.0,0.9797,NEAR BAY
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,NEAR BAY
-118.27,34.16,48.0,1301.0,253.0,637.0,260.0,4.3438,<1H OCEAN
-117.67,33.47,22.0,2728.0,616.0,1081.0,566.0,1.6393,<1H OCEAN
-122.41,37.8,52.0,1394.0,395.0,1700.0,400.0,2.75,NEAR BAY
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,NEAR BAY
-117.91,33.9,27.0,829.0,114.0,383.0,133.0,9.3125,<1H OCEAN
-117.22,33.81,4.0,9911.0,1946.0,5145.0,1661.0,3.4237,INLAND
-121.01,37.61,5.0,3655.0,696.0,2316.0,647.0,3.4703,INLAND
-121.79,37.31,22.0,2199.0,361.0,1270.0,386.0,5.1149,<1H OCEAN
-121.37,38.58,37.0,2839.0,390.0,1006.0,400.0,7.3343,INLAND
-118.19,33.86,38.0,2009.0,524.0,1449.0,451.0,2.7045,<1H OCEAN
-118.14,34.04,43.0,1949.0,464.0,1216.0,457.0,3.3214,<1H OCEAN
-118.98,37.64,17.0,3769.0,908.0,1160.0,453.0,3.05,INLAND
-118.39,34.08,28.0,833.0,230.0,349.0,210.0,3.067,<1H OCEAN
-118.37,34.07,52.0,2195.0,435.0,884.0,432.0,5.24,<1H OCEAN
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,NEAR BAY
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,NEAR BAY
-122.75,38.5,16.0,4196.0,638.0,1713.0,615.0,5.449,<1H OCEAN
-121.96,37.27,22.0,6114.0,1211.0,2983.0,1163.0,5.2533,<1H OCEAN
-121.29,38.15,23.0,4183.0,633.0,1886.0,628.0,4.8787,INLAND
-117.29,33.18,15.0,3780.0,792.0,1632.0,721.0,2.7644,NEAR OCEAN
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,NEAR BAY
-117.13,32.7,35.0,1179.0,344.0,1372.0,330.0,1.9509,NEAR OCEAN
-117.97,34.1,26.0,1399.0,277.0,1285.0,276.0,4.0,INLAND
-119.85,36.8,14.0,1876.0,324.0,1031.0,311.0,3.6563,INLAND
-122.26,37.78,52.0,970.0,217.0,528.0,208.0,3.3438,NEAR BAY
-119.21,36.38,18.0,2158.0,413.0,1461.0,395.0,2.0216,INLAND
-120.96,37.67,18.0,1442.0,229.0,538.0,220.0,4.2969,INLAND
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,NEAR BAY
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,NEAR BAY
-118.31,34.08,49.0,2549.0,630.0,1539.0,594.0,2.6218,<1H OCEAN
-121.28,38.68,16.0,3467.0,615.0,1478.0,601.0,3.75,INLAND
-118.33,33.98,28.0,3889.0,1199.0,3121.0,1046.0,1.8806,<1H OCEAN
-118.26,33.85,24.0,9071.0,1335.0,4558.0,1327.0,5.542,<1H OCEAN
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,NEAR BAY
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,NEAR BAY
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,NEAR BAY
-118.36,34.1,52.0,1096.0,247.0,423.0,230.0,3.0179,<1H OCEAN
-116.9,32.84,18.0,3612.0,737.0,1864.0,713.0,2.7069,<1H OCEAN
-122.35,37.95,45.0,2142.0,431.0,1318.0,431.0,3.0737,NEAR BAY
-117.92,33.83,52.0,1514.0,301.0,855.0,293.0,3.6042,<1H OCEAN
-117.99,34.14,30.0,2346.0,,1988.0,474.0,2.5625,INLAND
-117.24,34.15,23.0,3847.0,608.0,1621.0,630.0,4.6111,INLAND
-119.68,34.43,49.0,1785.0,386.0,1267.0,380.0,3.5208,<1H OCEAN
-122.31,38.0,26.0,3735.0,641.0,1708.0,633.0,4.621,NEAR BAY
-122.64,38.23,52.0,1075.0,249.0,519.0,210.0,3.0769,<1H OCEAN
-118.24,33.99,44.0,448.0,116.0,504.0,96.0,1.875,<1H OCEAN
-117.8,33.74,30.0,3569.0,551.0,1540.0,537.0,5.2998,<1H OCEAN
-118.42,34.32,30.0,3027.0,604.0,1970.0,590.0,4.3409,<1H OCEAN
-117.88,34.0,32.0,265.0,51.0,170.0,50.0,3.9375,<1H OCEAN
-121.92,37.3,35.0,1335.0,296.0,635.0,296.0,3.6053,<1H OCEAN
-119.7,34.4,25.0,1858.0,493.0,865.0,460.0,3.0938,NEAR OCEAN
-117.87,33.72,39.0,3167.0,669.0,2789.0,619.0,3.5902,<1H OCEAN
-118.23,34.1,41.0,1353.0,379.0,1536.0,416.0,2.1687,<1H OCEAN
-118.12,33.97,35.0,708.0,145.0,471.0,153.0,3.2,<1H OCEAN
-122.96,38.26,20.0,1982.0,358.0,308.0,132.0,3.1429,NEAR OCEAN
-118.04,34.1,38.0,2317.0,451.0,1155.0,426.0,4.1488,INLAND
-122.26,38.28,24.0,2831.0,502.0,1462.0,503.0,4.5,NEAR BAY
-123.02,38.36,16.0,1496.0,298.0,778.0,284.0,3.8589,NEAR OCEAN
-118.6,34.16,37.0,3441.0,584.0,1283.0,544.0,4.1656,<1H OCEAN
-120.76,37.61,30.0,816.0,159.0,531.0,147.0,3.2604,INLAND
-118.05,34.06,25.0,1022.0,291.0,1570.0,297.0,3.023,<1H OCEAN
-118.51,34.3,24.0,6145.0,868.0,2710.0,875.0,7.5078,<1H OCEAN
-117.21,32.87,12.0,1428.0,303.0,528.0,269.0,4.1429,NEAR OCEAN
-118.37,33.82,32.0,2815.0,607.0,1338.0,609.0,4.5687,<1H OCEAN
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,NEAR BAY
-117.14,32.75,35.0,1391.0,329.0,726.0,317.0,2.6818,NEAR OCEAN
-117.87,33.78,30.0,2022.0,522.0,1196.0,463.0,3.7454,<1H OCEAN
-117.76,34.06,30.0,1700.0,504.0,1719.0,459.0,2.227,INLAND
-117.62,34.09,26.0,3271.0,595.0,2259.0,566.0,4.0139,INLAND
-121.39,38.55,18.0,1734.0,467.0,783.0,447.0,1.9044,INLAND
-117.85,33.85,17.0,4678.0,1065.0,2427.0,1020.0,4.2276,<1H OCEAN
-119.24,36.8,17.0,2052.0,405.0,975.0,340.0,2.6902,INLAND
-119.49,34.39,17.0,4617.0,982.0,2303.0,923.0,3.9224,NEAR OCEAN
-118.04,34.07,39.0,2451.0,649.0,2536.0,648.0,2.3098,<1H OCEAN
-118.17,33.74,36.0,2006.0,453.0,807.0,426.0,3.7838,NEAR OCEAN
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,INLAND
-118.38,34.21,42.0,715.0,145.0,730.0,158.0,3.8,<1H OCEAN
-118.32,33.94,36.0,1722.0,280.0,830.0,261.0,4.0536,<1H OCEAN
-118.19,34.08,38.0,1241.0,298.0,1055.0,263.0,2.3409,<1H OCEAN
-118.33,34.07,52.0,1482.0,171.0,531.0,161.0,15.0001,<1H OCEAN
-121.33,38.7,15.0,2226.0,421.0,1004.0,417.0,2.7868,INLAND
-121.7,36.67,37.0,641.0,129.0,458.0,142.0,3.3456,<1H OCEAN
-118.36,33.98,46.0,1425.0,283.0,782.0,273.0,5.057,<1H OCEAN
-121.28,38.59,3.0,4188.0,1136.0,2081.0,995.0,3.0481,INLAND
-118.31,33.75,34.0,2338.0,393.0,1031.0,373.0,6.287,NEAR OCEAN
-117.73,35.73,35.0,2916.0,594.0,1870.0,432.0,3.625,INLAND
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,NEAR BAY
-121.92,37.24,26.0,6777.0,1051.0,3319.0,1061.0,6.3663,<1H OCEAN
-121.27,38.11,15.0,2039.0,384.0,1178.0,375.0,3.8672,INLAND
-117.21,33.93,4.0,10002.0,1468.0,5439.0,1397.0,5.0223,INLAND
-117.68,33.6,24.0,1956.0,262.0,969.0,256.0,6.8154,<1H OCEAN
-117.27,33.06,7.0,3686.0,733.0,1612.0,672.0,3.197,NEAR OCEAN
-122.26,37.55,17.0,4576.0,814.0,1941.0,807.0,5.9572,NEAR BAY
-122.49,37.89,23.0,1650.0,403.0,541.0,336.0,6.0238,NEAR BAY
-117.97,34.07,22.0,1438.0,364.0,1325.0,335.0,2.7802,<1H OCEAN
-121.85,37.36,15.0,3148.0,1116.0,3556.0,1037.0,3.0466,<1H OCEAN
-118.3,34.19,52.0,1704.0,277.0,746.0,262.0,4.7986,<1H OCEAN
-117.9,33.72,36.0,443.0,117.0,577.0,115.0,3.6875,<1H OCEAN
-117.88,33.83,22.0,3522.0,543.0,1706.0,524.0,6.4685,<1H OCEAN
-122.5,37.88,28.0,5448.0,1089.0,2100.0,1023.0,4.7475,NEAR BAY
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,NEAR BAY
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,NEAR BAY
-118.5,34.15,33.0,3104.0,387.0,1111.0,376.0,13.4196,<1H OCEAN
-117.37,33.19,18.0,975.0,382.0,650.0,286.0,1.9562,NEAR OCEAN
-122.76,38.35,30.0,2260.0,374.0,958.0,359.0,5.0323,<1H OCEAN
-118.38,34.04,35.0,2237.0,592.0,1794.0,543.0,2.2961,<1H OCEAN
-121.86,37.38,15.0,2052.0,405.0,1380.0,409.0,5.8686,<1H OCEAN
-117.93,33.88,52.0,2157.0,362.0,1001.0,373.0,5.1237,<1H OCEAN
-117.98,34.05,35.0,2342.0,426.0,2176.0,416.0,3.7454,<1H OCEAN
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,NEAR BAY
-122.08,37.61,26.0,2261.0,443.0,1039.0,395.0,3.7931,NEAR BAY
-121.67,38.54,13.0,6141.0,1019.0,2553.0,967.0,4.2432,INLAND
-118.39,34.09,28.0,2347.0,608.0,785.0,548.0,4.4167,<1H OCEAN
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,NEAR BAY
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,NEAR BAY
-118.23,33.89,35.0,1255.0,344.0,1782.0,343.0,2.1949,<1H OCEAN
-122.07,37.86,23.0,1025.0,205.0,263.0,191.0,3.12,NEAR BAY
-120.98,37.68,27.0,4006.0,762.0,1806.0,718.0,3.1848,INLAND
-119.57,36.44,30.0,1860.0,337.0,1123.0,347.0,3.4926,INLAND
-118.08,34.11,42.0,1969.0,353.0,927.0,354.0,5.5924,<1H OCEAN
-122.48,37.78,44.0,3371.0,794.0,1738.0,753.0,3.1653,NEAR BAY
-117.89,33.71,24.0,4365.0,804.0,2663.0,753.0,4.5814,<1H OCEAN
-121.87,37.29,18.0,1892.0,568.0,974.0,553.0,2.3715,<1H OCEAN
-119.05,36.06,23.0,2344.0,407.0,1184.0,406.0,3.1625,INLAND
-122.08,37.72,31.0,3866.0,531.0,1368.0,521.0,6.187,NEAR BAY
-122.08,37.66,33.0,1547.0,372.0,1063.0,356.0,2.5625,NEAR BAY
-121.98,37.53,28.0,2829.0,566.0,1610.0,540.0,4.6,<1H OCEAN
-118.53,34.2,33.0,3270.0,818.0,2118.0,763.0,3.225,<1H OCEAN
-122.1,37.69,44.0,2341.0,500.0,1256.0,485.0,2.9507,NEAR BAY
-117.88,34.14,32.0,1764.0,365.0,924.0,329.0,3.875,INLAND
-121.98,36.99,14.0,6787.0,1454.0,3416.0,1357.0,3.5943,NEAR OCEAN
-121.2,37.83,18.0,3415.0,580.0,1912.0,562.0,4.4423,INLAND
-117.93,33.74,5.0,639.0,197.0,666.0,197.0,3.3017,<1H OCEAN
-118.32,33.89,45.0,1928.0,453.0,1323.0,458.0,4.2813,<1H OCEAN
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,NEAR BAY
-118.19,34.04,40.0,1279.0,316.0,1438.0,329.0,2.1774,<1H OCEAN
-118.29,34.25,19.0,1988.0,594.0,1399.0,527.0,2.4727,<1H OCEAN
-117.47,33.98,8.0,12106.0,1913.0,5810.0,1717.0,4.9886,INLAND
-120.48,37.34,8.0,6146.0,1017.0,2821.0,987.0,4.67,INLAND
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,NEAR BAY
-121.3,38.72,15.0,2514.0,482.0,1166.0,503.0,2.2813,INLAND
-118.46,34.05,21.0,3639.0,1002.0,1489.0,983.0,4.6197,<1H OCEAN
-121.2,38.67,26.0,1546.0,287.0,773.0,299.0,2.9803,INLAND
-118.38,34.18,27.0,4834.0,1527.0,3847.0,1432.0,2.1449,<1H OCEAN
-121.9,38.0,14.0,1930.0,363.0,990.0,322.0,4.1094,INLAND
-122.47,37.76,52.0,2465.0,489.0,1170.0,498.0,4.0793,NEAR BAY
-122.02,37.31,35.0,2355.0,384.0,1248.0,378.0,5.9714,<1H OCEAN
-118.13,33.79,29.0,2937.0,524.0,1132.0,528.0,4.6133,NEAR OCEAN
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,NEAR BAY
-122.44,37.73,52.0,2381.0,492.0,1485.0,447.0,4.3898,NEAR BAY
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,NEAR BAY
-117.9,33.88,28.0,2696.0,346.0,947.0,356.0,9.0055,<1H OCEAN
-119.12,35.85,37.0,736.0,166.0,564.0,138.0,2.4167,INLAND
-117.15,32.8,23.0,2395.0,476.0,2284.0,488.0,3.7292,NEAR OCEAN
-121.34,38.66,16.0,3154.0,860.0,1837.0,793.0,1.9805,INLAND
-118.13,33.81,37.0,1013.0,199.0,493.0,183.0,4.7845,<1H OCEAN
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,NEAR BAY
-117.27,33.04,27.0,1839.0,392.0,1302.0,404.0,3.55,NEAR OCEAN
-120.88,37.37,24.0,1294.0,222.0,684.0,221.0,2.6908,INLAND
-119.01,35.24,6.0,80.0,16.0,66.0,21.0,3.125,INLAND
-117.05,32.57,13.0,2880.0,576.0,2450.0,567.0,3.1696,NEAR OCEAN
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,<1H OCEAN
-120.04,36.96,23.0,2126.0,506.0,2091.0,491.0,1.3713,INLAND
-118.17,33.98,31.0,1236.0,329.0,1486.0,337.0,3.0938,<1H OCEAN
-121.76,36.92,20.0,2687.0,637.0,2154.0,610.0,2.6434,<1H OCEAN
-122.25,38.1,52.0,248.0,86.0,173.0,69.0,2.3,NEAR BAY
-120.98,37.65,40.0,422.0,63.0,158.0,63.0,7.3841,INLAND
-122.54,38.36,40.0,2725.0,531.0,1167.0,458.0,3.7969,<1H OCEAN
-118.19,33.79,43.0,1823.0,600.0,2339.0,560.0,1.6792,NEAR OCEAN
-122.28,37.89,52.0,2616.0,473.0,1085.0,487.0,4.125,NEAR BAY
-117.32,34.14,32.0,1691.0,353.0,1457.0,329.0,1.8438,INLAND
-119.44,36.59,28.0,1343.0,330.0,1331.0,305.0,1.516,INLAND
-117.31,33.25,13.0,3075.0,630.0,1843.0,674.0,2.8558,<1H OCEAN
-122.29,37.55,27.0,3789.0,874.0,2243.0,866.0,4.39,NEAR OCEAN
-117.72,34.03,17.0,2902.0,476.0,1652.0,479.0,5.6029,INLAND
-122.23,38.05,52.0,1736.0,358.0,638.0,297.0,2.5517,NEAR BAY
-121.93,36.63,28.0,3983.0,852.0,1582.0,778.0,3.5147,NEAR OCEAN
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,NEAR BAY
-118.19,33.86,36.0,2013.0,546.0,1659.0,522.0,3.1215,<1H OCEAN
-121.7,36.48,19.0,2150.0,479.0,1052.0,428.0,3.5039,<1H OCEAN
-118.21,34.12,52.0,1590.0,360.0,1127.0,321.0,3.4625,<1H OCEAN
-121.85,36.59,42.0,891.0,203.0,525.0,212.0,3.3156,<1H OCEAN
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,NEAR BAY
-118.24,33.96,37.0,1602.0,388.0,1553.0,342.0,2.0655,<1H OCEAN
-118.2,33.81,46.0,1388.0,254.0,742.0,241.0,4.6458,NEAR OCEAN
-121.84,37.34,27.0,2512.0,526.0,3033.0,526.0,4.25,<1H OCEAN
-121.32,35.95,31.0,372.0,68.0,479.0,67.0,3.5547,NEAR OCEAN
-121.74,39.15,20.0,2302.0,412.0,1205.0,399.0,2.8,INLAND
-118.21,34.04,47.0,1325.0,393.0,1557.0,352.0,2.8,<1H OCEAN
-119.57,36.71,10.0,1657.0,359.0,958.0,380.0,2.6458,INLAND
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,NEAR BAY
-122.18,37.45,43.0,2061.0,437.0,817.0,385.0,4.4688,NEAR BAY
-117.69,33.47,23.0,3499.0,722.0,1480.0,634.0,3.86,<1H OCEAN
-117.19,32.82,34.0,3850.0,608.0,1619.0,602.0,5.0465,NEAR OCEAN
-122.15,37.74,41.0,856.0,178.0,571.0,191.0,3.1458,NEAR BAY
-117.88,33.84,31.0,3301.0,712.0,1532.0,682.0,3.7303,<1H OCEAN
-118.36,33.88,28.0,1313.0,319.0,827.0,308.0,2.65,<1H OCEAN
-118.32,34.09,34.0,1478.0,675.0,1976.0,653.0,2.0557,<1H OCEAN
-123.03,38.79,16.0,4047.0,769.0,1998.0,673.0,3.375,<1H OCEAN
-122.3,41.32,13.0,2300.0,513.0,1151.0,488.0,2.1571,INLAND
-121.04,37.68,28.0,1909.0,398.0,1140.0,380.0,2.3783,INLAND
-118.01,34.16,47.0,1745.0,270.0,753.0,275.0,5.532,INLAND
-120.58,35.0,37.0,523.0,119.0,374.0,95.0,1.4726,<1H OCEAN
-117.04,32.8,11.0,1802.0,440.0,630.0,428.0,2.0337,<1H OCEAN
-122.26,38.13,28.0,3072.0,790.0,1375.0,705.0,1.6368,NEAR BAY
-120.24,37.21,31.0,2447.0,465.0,1313.0,352.0,3.3929,INLAND
-121.82,37.31,15.0,1504.0,294.0,1267.0,291.0,5.5145,<1H OCEAN
-117.93,33.85,25.0,1026.0,288.0,1646.0,283.0,4.2019,<1H OCEAN
-117.95,35.13,4.0,2630.0,502.0,1150.0,422.0,4.25,INLAND
-121.44,38.54,47.0,2518.0,501.0,1308.0,471.0,2.5389,INLAND
-118.37,34.22,11.0,2127.0,581.0,1989.0,530.0,2.9028,<1H OCEAN
-122.19,37.76,52.0,2024.0,391.0,1030.0,350.0,2.4659,NEAR BAY
-121.31,38.97,16.0,1210.0,228.0,726.0,222.0,2.7083,INLAND
-121.89,37.31,47.0,2986.0,627.0,1399.0,613.0,3.7455,<1H OCEAN
-117.13,32.73,43.0,2706.0,667.0,1531.0,614.0,2.1513,NEAR OCEAN
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,NEAR BAY
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,NEAR BAY
-117.15,34.06,25.0,3670.0,644.0,1815.0,634.0,4.0658,INLAND
-117.3,34.53,38.0,1643.0,489.0,1196.0,406.0,1.2275,INLAND
-118.3,34.05,46.0,1386.0,457.0,1845.0,485.0,2.1414,<1H OCEAN
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,NEAR BAY
-118.13,34.08,40.0,1931.0,449.0,1367.0,446.0,2.575,<1H OCEAN
-121.76,37.67,6.0,3023.0,518.0,1225.0,468.0,6.3705,INLAND
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,NEAR BAY
-117.25,33.22,19.0,2167.0,443.0,1654.0,435.0,3.5,<1H OCEAN
-117.18,32.84,30.0,2290.0,523.0,1272.0,472.0,3.5606,NEAR OCEAN
-121.86,39.75,18.0,1651.0,309.0,856.0,293.0,3.5046,INLAND
-122.6,38.0,21.0,2198.0,462.0,1100.0,449.0,4.1098,<1H OCEAN
-122.09,37.39,30.0,1722.0,490.0,1057.0,517.0,3.725,NEAR BAY
-120.69,35.25,15.0,4210.0,899.0,1933.0,867.0,2.794,NEAR OCEAN
-117.05,32.57,22.0,2857.0,516.0,2412.0,496.0,4.7337,NEAR OCEAN
